gokv_task_id;gokv_tasktype;gokv_ordered_date;mitglied_kvnr;mitglied_name;mitglied_vorname;mitglied_titel;mitglied_vswort;mitglied_zswort;mitglied_gebdat
5C398022526B11E78DEF549CF4B14D54;eka;16.06.2017;T101606822;KUáLOSS;Abdulaziz;;;;30.05.1964
5C398023526B11E78DEF549CF4B14D54;eka;16.06.2017;P100479833;Boidenbiss;Marek;;;;17.07.1950
5C398024526B11E78DEF549CF4B14D54;eka;16.06.2017;K100033888;Srrälti-Hkedrok;Kimberly;;;;08.10.1987
5C398025526B11E78DEF549CF4B14D54;eka;16.06.2017;O101764318;KRŽLmeyer;Vahdet;;;;14.10.1986
5C398026526B11E78DEF549CF4B14D54;eka;16.06.2017;B102026558;Fiozch;Assen;;;;13.02.1986
5C398027526B11E78DEF549CF4B14D54;eka;16.06.2017;M101106143;Lusrroir;Sarah Luisa;;;;08.05.1971
5C398028526B11E78DEF549CF4B14D54;eka;16.06.2017;N100143584;Woidmen;Sukanja;;;;28.06.1972
5C39A730526B11E78DEF549CF4B14D54;eka;16.06.2017;K100756324;Miäs-Plüer;Jan-Simon;;;;21.02.1986
5C39A731526B11E78DEF549CF4B14D54;eka;16.06.2017;R100170907;Stchzog;CORINA;;;;29.12.1987
5C39A732526B11E78DEF549CF4B14D54;eka;16.06.2017;Z102007243;Biogsrr;Milijada;;;;08.09.1967
5C3A6A80526B11E78DEF549CF4B14D54;eka;16.06.2017;Q101990222;Hotzbrendt;Almut Dorothea;;;;29.12.1962
5C3A9190526B11E78DEF549CF4B14D54;eka;16.06.2017;S102002716;KIMPEN-DOEN;Nastassia;;;;21.07.1949
5C3A9191526B11E78DEF549CF4B14D54;eka;16.06.2017;T101380729;Fitsrr;Halgard;;;;14.06.1941
5C3B06C0526B11E78DEF549CF4B14D54;eka;16.06.2017;P101386306;Koisewelten;Tanase;;;;23.06.1990
5C3B06C1526B11E78DEF549CF4B14D54;eka;16.06.2017;Y101118183;HUPend;Frank-Helmut;;;;29.10.1981
5C3B54E0526B11E78DEF549CF4B14D54;eka;16.06.2017;J100532188;Nicklen;Laura-Catalina;;;;20.03.1972
5C3B54E1526B11E78DEF549CF4B14D54;eka;16.06.2017;H101851775;Hinwox;Tanase;;;;05.10.1992
5C3BA300526B11E78DEF549CF4B14D54;eka;16.06.2017;C100063670;Lieokegs;Ortrun;;;;08.01.1963
5C3BA301526B11E78DEF549CF4B14D54;eka;16.06.2017;Y101101567;Binhürcker;Jockel;;;;31.12.1974
5C3BCA10526B11E78DEF549CF4B14D54;eka;16.06.2017;V100295482;BEKUTA;Nicole;;;;21.11.1956
5C3BCA11526B11E78DEF549CF4B14D54;eka;16.06.2017;B102029679;UáIODOTH;Paula Josefine;;;;28.09.1974
5C3BCA12526B11E78DEF549CF4B14D54;eka;16.06.2017;W100818079;Ebdch Hedo;Alicja Jolanta;;;;25.06.1974
5C3BCA13526B11E78DEF549CF4B14D54;eka;16.06.2017;B101552968;Srrrossin;Sandra Julia;;;;08.09.1954
5C3BCA14526B11E78DEF549CF4B14D54;eka;16.06.2017;O100491457;Wchlogi;VALENTIN;;;;07.01.1971
5C3BCA15526B11E78DEF549CF4B14D54;eka;16.06.2017;H100283881;KUáLOSS;Hieu Minh;;;;03.08.1956
5C3BCA16526B11E78DEF549CF4B14D54;eka;16.06.2017;K102013371;Dülli;Darrell;;;;14.10.1952
5C3BCA17526B11E78DEF549CF4B14D54;eka;16.06.2017;E100507958;Ewald;Othniel;;;;29.01.1994
5C3BCA18526B11E78DEF549CF4B14D54;eka;16.06.2017;I101788520;TREMPINT;Laura theresa;;;;06.11.1998
5C3BF120526B11E78DEF549CF4B14D54;eka;16.06.2017;X100252600;Gromsrriir;Cheza;;;;02.07.1962
5C3BF121526B11E78DEF549CF4B14D54;eka;16.06.2017;I101016967;Krätwe;Nicole;;;;08.07.1944
5C3BF122526B11E78DEF549CF4B14D54;eka;16.06.2017;I101766334;CKÖSRRI;Lisa Caroline;;;;27.05.1994
5C3BF123526B11E78DEF549CF4B14D54;eka;16.06.2017;E100770067;Boiiiek;Bernhard-Paul;;;;01.05.1982
5C3BF124526B11E78DEF549CF4B14D54;eka;16.06.2017;T100617572;MEJUW;Silke Maria;;;;14.01.2009
5C3BF125526B11E78DEF549CF4B14D54;eka;16.06.2017;O101030235;SRRURPP;Margareth;;;;09.03.1965
5C3BF126526B11E78DEF549CF4B14D54;eka;16.06.2017;Y100433025;HEÄDCH;Laura-Catalina;;;;19.11.1966
5C3BF127526B11E78DEF549CF4B14D54;eka;16.06.2017;X100677196;MÄ end;Alkinoi;;;;13.06.1950
5C3BF128526B11E78DEF549CF4B14D54;eka;16.06.2017;J100412029;Srrremm;ANGELA;;;;20.07.1976
5C3C1830526B11E78DEF549CF4B14D54;eka;16.06.2017;W101271763;Soddi;Sebastian Johannes;;;;13.06.1957
5C3C1831526B11E78DEF549CF4B14D54;eka;16.06.2017;W101031979;MURGINROETHEN;Lena Stefanie;;;;22.12.1981
5C3C1832526B11E78DEF549CF4B14D54;eka;16.06.2017;X101694432;Fstiner;Kilian Michael;;;;17.08.1988
5C3C1833526B11E78DEF549CF4B14D54;eka;16.06.2017;Q101506735;Biälsheuseo;Alkinoi;;;;04.07.1956
5C3C1834526B11E78DEF549CF4B14D54;eka;16.06.2017;B101793347;BEGÄS;Heinz-Henning;;;;26.01.1969
5C3C1835526B11E78DEF549CF4B14D54;eka;16.06.2017;P101885685;Wuhlfrom;Enikö-Rita;;;;17.09.1966
5C3C3F40526B11E78DEF549CF4B14D54;eka;16.06.2017;F101574456;Ugbumo;Kim-Mairin;;;;08.08.1985
5C3C3F41526B11E78DEF549CF4B14D54;eka;16.06.2017;K100885442;Zofli;Shushan;;;;17.05.1946
5C3C3F42526B11E78DEF549CF4B14D54;eka;16.06.2017;H101484116;Sprerr;Kimberley;;;;15.11.1987
5C3C3F43526B11E78DEF549CF4B14D54;eka;16.06.2017;A100188935;SKÜTSRR;Assen;;;;03.06.1988
5C3C3F44526B11E78DEF549CF4B14D54;eka;16.06.2017;E101345358;Ühmorrii;Marie-Beatrice;;;;09.03.1964
5C3C3F45526B11E78DEF549CF4B14D54;eka;16.06.2017;E101287784;Bendusz;Paulin;;;;19.06.1930
5C3C3F46526B11E78DEF549CF4B14D54;eka;16.06.2017;T101406068;DUIHREO;Heinrich Jakob Martin;;;;03.01.1992
5C3C3F47526B11E78DEF549CF4B14D54;eka;16.06.2017;U101223414;Däblitte Mühl;Kunigunde;;;;22.06.1995
5C3C3F48526B11E78DEF549CF4B14D54;eka;16.06.2017;P100169750;Äikenmenn-Botter;Junko;;;;08.05.1987
5C3C6650526B11E78DEF549CF4B14D54;eka;16.06.2017;J100624409;Kurdke;Corsin;;;;22.02.1994
5C3C6651526B11E78DEF549CF4B14D54;eka;16.06.2017;A100517339;BÄ Imeyer;Johanne;;;;29.03.1978
5C3C6652526B11E78DEF549CF4B14D54;eka;16.06.2017;N100128037;Lüwiogäth;Oskar Matthias;;;;12.12.1927
5C3C6653526B11E78DEF549CF4B14D54;eka;16.06.2017;S101048458;Uckmeäin-Ätz;Marvin Luis;;;;19.07.1991
5C3C6654526B11E78DEF549CF4B14D54;eka;16.06.2017;U100426907;Käpin;Mahrafzoon;;;;07.07.1991
5C3C6655526B11E78DEF549CF4B14D54;eka;16.06.2017;M100326783;Pfeälckitten;Mert-Can;;;;07.10.1950
5C3C6656526B11E78DEF549CF4B14D54;eka;16.06.2017;I101414705;Misrrede;Cheza;;;;20.11.1952
5C3C6657526B11E78DEF549CF4B14D54;eka;16.06.2017;Y100870818;deä qal;Hieu Minh;;;;10.02.1946
5C3C6658526B11E78DEF549CF4B14D54;eka;16.06.2017;X100639780;Ofcoc;Kang-Hyeb;;;;14.05.1952
5C3C8D60526B11E78DEF549CF4B14D54;eka;16.06.2017;L101583406;Mirdener;Elisabeth Luise;;;;09.09.1988
5C3C8D61526B11E78DEF549CF4B14D54;eka;16.06.2017;L101165095;Stoiglen-Ruhm;Ludgerus;;;;14.05.1986
5C3C8D62526B11E78DEF549CF4B14D54;eka;16.06.2017;K100783736;KOIRHUFEN;Manuel Dominik;;;;31.12.1990
5C3C8D63526B11E78DEF549CF4B14D54;eka;16.06.2017;K101202522;Stenoslawik;Tommy;;;;30.05.1952
5C3C8D64526B11E78DEF549CF4B14D54;eka;16.06.2017;P101076804;Fouriitkeo;Volker Achim;;;;09.05.1946
5C3C8D65526B11E78DEF549CF4B14D54;eka;16.06.2017;U100954348;Kockmeyer;Christian Heinrich Günth.;;;;31.03.1992
5C3C8D66526B11E78DEF549CF4B14D54;eka;16.06.2017;I101819921;CKUICKCH;Deepthi;;;;01.10.1982
5C3C8D67526B11E78DEF549CF4B14D54;eka;16.06.2017;S101479309;Krätwe;Maria-Belen;;;;01.10.1980
5C3C8D68526B11E78DEF549CF4B14D54;eka;16.06.2017;H100130421;VUN HIMM;Lisa-Kristin;;;;01.09.1951
5C3CB470526B11E78DEF549CF4B14D54;eka;16.06.2017;D101124937;Lydins;Nedjmije;;;;01.07.1966
5C3CB471526B11E78DEF549CF4B14D54;eka;16.06.2017;S101664579;CILMMEL;Cheza;;;;22.09.1953
5C3CB472526B11E78DEF549CF4B14D54;eka;16.06.2017;D101782021;Dimbmeyer;Jan Jochen;;;;23.05.1991
5C3CB473526B11E78DEF549CF4B14D54;eka;16.06.2017;I100117566;SRRRENDT;Kang-Hyeb;;;;21.09.1990
5C3CB474526B11E78DEF549CF4B14D54;eka;16.06.2017;A100989391;Höhni;Kürsat;;;;06.09.2002
5C3CB475526B11E78DEF549CF4B14D54;eka;16.06.2017;X101952291;Stuodnin-E;Kee Chang David;;;;19.08.1987
5C3CB476526B11E78DEF549CF4B14D54;eka;16.06.2017;E100895136;DOISEN;Asha Khan;;;;31.12.1959
5C3CB477526B11E78DEF549CF4B14D54;eka;16.06.2017;L101355074;Bitje;Yigit;;;;25.09.1942
5C3CB478526B11E78DEF549CF4B14D54;eka;16.06.2017;T100449675;Kädur;Tanja Simone;;;;26.10.1955
5C3CB479526B11E78DEF549CF4B14D54;eka;16.06.2017;K101606215;BELTKA;Guido-Heinrich;;;;21.07.1953
5C3CDB80526B11E78DEF549CF4B14D54;eka;16.06.2017;B101804583;Kulboom;Theresa Maria;;;;25.02.1969
5C3CDB81526B11E78DEF549CF4B14D54;eka;16.06.2017;P101016190;Gublorsrr;Clemens Rasmus;;;;17.11.1997
5C3CDB82526B11E78DEF549CF4B14D54;eka;16.06.2017;W101726036;Gimmo;Tina-Denise;;;;20.11.1979
5C3CDB83526B11E78DEF549CF4B14D54;eka;16.06.2017;Z101289655;breckidt;Anca-Delia;;;;28.03.1951
5C3CDB84526B11E78DEF549CF4B14D54;eka;16.06.2017;S100368051;Klommin;Coletta;;;;05.04.1991
5C3CDB85526B11E78DEF549CF4B14D54;eka;16.06.2017;X100917816;Merrorajä;Omid;;;;14.08.1957
5C3CDB86526B11E78DEF549CF4B14D54;eka;16.06.2017;J100697100;Reätbauin;Renate-Dorothea;;;;11.06.1988
5C3CDB87526B11E78DEF549CF4B14D54;eka;16.06.2017;G101041609;Rüvin;Ersilia;;;;29.09.1966
5C3CDB88526B11E78DEF549CF4B14D54;eka;16.06.2017;D100192220;Xfyyualro;Dorota Magdalena;;;;15.12.1963
5C3D0290526B11E78DEF549CF4B14D54;eka;16.06.2017;T100146040;MÄITZEN-CELUNFURTH;Ala El Din;;;;13.03.1957
5C3D0291526B11E78DEF549CF4B14D54;eka;16.06.2017;L100998381;MEXKA;Esmeralda;;;;24.09.1980
5C3D0292526B11E78DEF549CF4B14D54;eka;16.06.2017;I100527061;Laungryn;Espen;;;;16.09.1972
5C3D0293526B11E78DEF549CF4B14D54;eka;16.06.2017;T100057407;PLEÄIN;Lars-Christian;;;;21.06.2004
5C3D0294526B11E78DEF549CF4B14D54;eka;16.06.2017;Q101835478;Perdihl;Anja-Vera;;;;25.11.1986
5C3D0295526B11E78DEF549CF4B14D54;eka;16.06.2017;P100688445;Kotzit;Frank-Helmut;;;;10.12.1981
5C3D0296526B11E78DEF549CF4B14D54;eka;16.06.2017;C101104919;JÄIHLKE-BUSRR;Fides;;;;24.05.1966
5C3D0297526B11E78DEF549CF4B14D54;eka;16.06.2017;T101565747;Iosiiberth;Wilhelmine;;;;12.05.1959
5C3D0298526B11E78DEF549CF4B14D54;eka;16.06.2017;F101769942;Söndog;Angela Frfr.;;;;10.12.1990
5C3D0299526B11E78DEF549CF4B14D54;eka;16.06.2017;I100242949;ILMOER;Joy Jolin;;;;23.09.1959
5C3D029A526B11E78DEF549CF4B14D54;eka;16.06.2017;A101733871;Cuffoin;Said Ahmet;;;;06.12.1988
5C3D29A0526B11E78DEF549CF4B14D54;eka;16.06.2017;A100937784;REOTHCH;Luisa-Marie;;;;26.02.1959
5C3D29A1526B11E78DEF549CF4B14D54;eka;16.06.2017;Y101220660;Tunnin-Räpprerrt;Carmen Heike;;;;05.12.1972
5C3D29A2526B11E78DEF549CF4B14D54;eka;16.06.2017;V100397805;HÄIRLEN-BUEHM;Adelaide;;;;27.01.1986
5C3D29A3526B11E78DEF549CF4B14D54;eka;16.06.2017;G100593572;Wottikkedt;Azemina;;;;22.01.1979
5C3D29A4526B11E78DEF549CF4B14D54;eka;16.06.2017;C101163519;Pfenninckotz;Dana Sophie;;;;25.01.1973
5C3D29A5526B11E78DEF549CF4B14D54;eka;16.06.2017;G101369440;VUOSKEI;Enikö-Rita;;;;22.08.1970
5C3D29A6526B11E78DEF549CF4B14D54;eka;16.06.2017;E100088793;Finnges;Hannes Ulrich;;;;23.09.1989
5C3D29A7526B11E78DEF549CF4B14D54;eka;16.06.2017;N101450131;El Reshid;Assen;;;;14.07.1988
5C3D29A8526B11E78DEF549CF4B14D54;eka;16.06.2017;D100921848;Külkibess-Folges;Tanase;;;;18.07.1961
5C3D29A9526B11E78DEF549CF4B14D54;eka;16.06.2017;H101183892;HINBRÄEGGEN;Theresa Maria;;;;10.08.1963
5C3D50B0526B11E78DEF549CF4B14D54;eka;16.06.2017;P100634441;Gibbe;Martina Alice;;;;20.10.1967
5C3D50B1526B11E78DEF549CF4B14D54;eka;16.06.2017;V101389090;Musio;Mia Sophia;;;;21.06.1984
5C3D50B2526B11E78DEF549CF4B14D54;eka;16.06.2017;U100465291;Cedoz Erst;Jacek;;;;20.09.1984
5C3D50B3526B11E78DEF549CF4B14D54;eka;16.06.2017;Q101478430;Krätwe;Mimoza;;;;10.11.1979
5C3D50B4526B11E78DEF549CF4B14D54;eka;16.06.2017;N100843728;Stchzog;Guido-Heinrich;;;;01.02.1962
5C3D50B5526B11E78DEF549CF4B14D54;eka;16.06.2017;D100418625;Enginsberr;Mara Faye;;;;28.03.1959
5C3D50B6526B11E78DEF549CF4B14D54;eka;16.06.2017;D101616072;BUORmeyer;Ubiratan;;;;28.06.1989
5C3D50B7526B11E78DEF549CF4B14D54;eka;16.06.2017;N101283124;Burekova;Lena Stefanie;;;;08.06.1977
5C3D77C0526B11E78DEF549CF4B14D54;eka;16.06.2017;I101359571;Slrus;Henrike Alicia;;;;27.03.1972
5C3D77C1526B11E78DEF549CF4B14D54;eka;16.06.2017;P100673239;BEBCH;Wing;;;;10.07.1964
5C3D77C2526B11E78DEF549CF4B14D54;eka;16.06.2017;O100657626;Jubck;Ortrun;;;;14.10.1988
5C3D77C3526B11E78DEF549CF4B14D54;eka;16.06.2017;D100684857;WOGLIIDE;Juliana Zazue;;;;01.05.1955
5C3D77C4526B11E78DEF549CF4B14D54;eka;16.06.2017;Q100696646;BRUSSMENN BAÄ GINNENMANN;Lilith eilen;;;;01.10.1991
5C3D77C5526B11E78DEF549CF4B14D54;eka;16.06.2017;W100826468;Ebsrryir;Hieu Minh;;;;31.01.1973
5C3D77C6526B11E78DEF549CF4B14D54;eka;16.06.2017;L101062565;Hunsrreäd;Giulia Marie;;;;09.09.1963
5C3D77C7526B11E78DEF549CF4B14D54;eka;16.06.2017;Q101832711;Ginend;Stephan Karl-Heinz;;;;08.05.1960
5C3D77C8526B11E78DEF549CF4B14D54;eka;16.06.2017;B100774120;Seäffint;Sandra Elisa;;;;02.08.1971
5C3D9ED0526B11E78DEF549CF4B14D54;eka;16.06.2017;L100747657;GÄTSMOIDL;Armin;;;;29.07.1989
5C3D9ED1526B11E78DEF549CF4B14D54;eka;16.06.2017;V101928689;Kurdint;Paul Gerhard;;;;10.01.1992
5C3D9ED2526B11E78DEF549CF4B14D54;eka;16.06.2017;E101193909;BINGEN HENEGUÄWEN;Jana-Lurina;;;;12.07.1963
5C3D9ED3526B11E78DEF549CF4B14D54;eka;16.06.2017;G101166147;RAFOSRR;Hannes Ulrich;;;;09.11.1983
5C3D9ED4526B11E78DEF549CF4B14D54;eka;16.06.2017;Q101634949;vun Dyr;Kira Kristin;;;;02.04.1963
5C3D9ED5526B11E78DEF549CF4B14D54;eka;16.06.2017;P100729761;Pehan;Genoveva;;;;11.07.1954
5C3DC5E0526B11E78DEF549CF4B14D54;eka;16.06.2017;L100356962;BEHLIS;Enikö-Rita;;;;15.07.1958
5C3DC5E1526B11E78DEF549CF4B14D54;eka;16.06.2017;W101539104;Exktenpi;Genoveva;;;;01.01.1955
5C3DC5E2526B11E78DEF549CF4B14D54;eka;16.06.2017;C100460619;Studole;Hatidje;;;;12.09.1973
5C3DC5E3526B11E78DEF549CF4B14D54;eka;16.06.2017;A100028432;GUTSRRI;Claudia Mihaela;;;;11.07.1984
5C3DC5E4526B11E78DEF549CF4B14D54;eka;16.06.2017;W101225831;Nchki;Reinhold-Sebastian;;;;06.02.2006
5C3DC5E5526B11E78DEF549CF4B14D54;eka;16.06.2017;B101813570;FÄINNOá;Mara Faye;;;;29.08.1946
5C3DC5E6526B11E78DEF549CF4B14D54;eka;16.06.2017;U100373511;LÄIDENOER;Gizemnur;;;;20.06.1983
5C3DC5E7526B11E78DEF549CF4B14D54;eka;16.06.2017;C100363892;Gräsrrwoir;Mohammed Ali;;;;07.02.2011
5C3DC5E8526B11E78DEF549CF4B14D54;eka;16.06.2017;G101786344;Dkesi;Ersilia;;;;22.06.1972
5C3DC5E9526B11E78DEF549CF4B14D54;eka;16.06.2017;M101868504;Hoiidl;Albert-Wilko;;;;15.09.1986
5C3DECF0526B11E78DEF549CF4B14D54;eka;16.06.2017;B100242490;Seprakka;Marie-Christine;;;;14.03.1989
5C3DECF1526B11E78DEF549CF4B14D54;eka;16.06.2017;T100431931;Pfändhchlin;Lara Rose;;;;22.11.2010
5C3DECF2526B11E78DEF549CF4B14D54;eka;16.06.2017;Y100047270;LUPIS OLOVEÄRA;Arie;;;;24.09.1971
5C3DECF3526B11E78DEF549CF4B14D54;eka;16.06.2017;C100492820;SRRETZKAGIN;Julian Oliver;;;;09.03.1971
5C3DECF4526B11E78DEF549CF4B14D54;eka;16.06.2017;N100686206;Myrrlin;Carmela;;;;03.01.1986
5C3DECF5526B11E78DEF549CF4B14D54;eka;16.06.2017;H101601345;Lihrke;Abdulaziz;;;;22.03.1968
5C3DECF6526B11E78DEF549CF4B14D54;eka;16.06.2017;A101665295;Duidt;Ljubinka;;;;18.02.2009
5C3DECF7526B11E78DEF549CF4B14D54;eka;16.06.2017;I100282285;BÄRRmeyer;Luisa-Marie;;;;19.12.1973
5C3DECF8526B11E78DEF549CF4B14D54;eka;16.06.2017;X100823929;Steiweo;Hans-Heinz;;;;21.11.2002
5C3DECF9526B11E78DEF549CF4B14D54;eka;16.06.2017;P100880354;WEÄßI-KÜRBOER;Kilian Michael;;;;23.02.1961
5C3E1400526B11E78DEF549CF4B14D54;eka;16.06.2017;M100727505;Ainloelaa;Angelique Maria;;;;20.07.1959
